id_spiaggia;numero_chiuso;Comune;Stabilimento;geo_card;img_spiaggia;link_mappe;max_persone;nome_spiaggia;prezzo_ingresso;costo_parcheggio;Provincia;posti_occupati
1;True;Villasimius;True;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3094.8074952188736!2d9.55371892643!3d39.1336118327313!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12e0e8329d948be9%3A0xa6a5b2e4301d4455!2sSpiaggia%20di%20Punta%20Molentis!5e0!3m2!1sit!2sit!4v1722418278476!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721051997/shutterstock_209452723_villasimius_punta_is_molentis_pawel_kazmierczak.jpg_resize_ab57su.jpg;https://maps.app.goo.gl/yPqQ1RutF8RGEBdP6;500;Spiaggia Punta Molentis;1;10;Sud Sardegna;0
2;True;Villasimius;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3094.9544908809794!2d9.45374177642987!3d39.13026703292953!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12e0c49d9ca2b783%3A0xb1327e59e7f2c23b!2sSpiaggia%20di%20Porto%20Sa%20Ruxi!5e0!3m2!1sit!2sit!4v1722418422464!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052059/Spiaggia-Porto-Sa-Ruxi-Villasimius-South-Sardinia-1024x683_gljpru.jpg;https://maps.app.goo.gl/y8WGWBGVrW7NNZbx9;450;Spiaggia Porto Sa Ruxi;1;10;Sud Sardegna;0
3;True;Teulada;True;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3105.2842950939876!2d8.810573376421418!3d38.8946136468677!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12e6e7378d569d7f%3A0xfe8af765f15074f0!2sSpiaggia%20di%20Tuerredda!5e0!3m2!1sit!2sit!4v1722418459663!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052100/shutterstock_195872915_tuarredda_pawel_kazmierczak_resize_ohzemk.jpg;https://maps.app.goo.gl/GTQc48Vaz358oc7Z9;1100;Spiaggia di Turredda;0;7;Sud Sardegna;0
4;True;Baunei;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d48801.83264393871!2d9.620679783303864!3d40.13973226659691!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12de877673d88eb5%3A0x9f795711ef3aa17!2sSentiero%20Cala%20Mariolu!5e0!3m2!1sit!2sit!4v1722418507544!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052127/01-CALA-MARIOLU_jecgah.jpg;https://maps.app.goo.gl/63v6ZHFm2iWqcBAp8;700;Cala Mariolu;1;0;Nuoro;0
5;True;Baunei;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1525.7566557329396!2d9.685308049529663!3d40.108562775920525!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12de5a57bb086adf%3A0xf82e71d83aa551d8!2sCala%20Goloritz%C3%A9!5e0!3m2!1sit!2sit!4v1722418541360!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052153/003_cala_goloritze_-_baunei_2_tn_bbq4z5.jpg;https://maps.app.goo.gl/o4EwAVR7VyNtbVvR9;250;Cala Golorizè;7;0;Nuoro;0
6;True;Baunei;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3049.745744399979!2d9.650025476466984!3d40.1479469719539!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12de5944e288fd5b%3A0xd038484e0ba22c90!2sCala%20Bir%C3%ACala!5e0!3m2!1sit!2sit!4v1722418572998!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052203/cala_biriola_kr72dw.jpg;https://maps.app.goo.gl/Uo1emRzEAYXz82R78;300;Cala Biriola;0;0;Nuoro;0
7;True;Baunei;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12203.865951800928!2d9.669164971317493!3d40.12075030231629!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12de5a4d75459ddf%3A0x14eb5b97ed301287!2sCala%20dei%20Gabbiani!5e0!3m2!1sit!2sit!4v1722418652959!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052265/6659b7364437b_ytnjoe.jpg;https://maps.app.goo.gl/4VxrGjV2jhC24CYD8;300;Cala dei Gabbiani;0;0;Nuoro;0
8;True;Baunei;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3048.324287323524!2d9.631785976468205!3d40.179596020037174!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12de59332a4572a5%3A0xb751d961e0974f76!2sCala%20Sisine!5e0!3m2!1sit!2sit!4v1722418694595!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052294/ssk_31769356_ogliastra_sisine_ivan_sgualdini_rsz_pdwppc.jpg;https://maps.app.goo.gl/Unq6sbsUUumneb4u6;1600;Cala Sisine;0;0;Nuoro;0
9;True;Baunei;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3046.213609332653!2d9.624104176469963!3d40.22655256719149!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12de5f519833520d%3A0xb40ce99317ea3370!2sCala%20Luna!5e0!3m2!1sit!2sit!4v1722418744309!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052339/13837712-Cala-Luna-Orosei-Gulf-Nuoro-province-Sardegna-Italy_yis51t.jpg;https://maps.app.goo.gl/gQ71mgYv9WY6MbNN7;800;Cala Luna;0;0;Nuoro;0
10;True;Baunei;True;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1528.4772339877131!2d9.687998138951667!3d39.987122847957906!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12de45d782f69b9d%3A0xd8a198840218fe1e!2sSpiaggia%20di%20Santa%20Maria%20Navarrese!5e0!3m2!1sit!2sit!4v1722418801239!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052367/Santa-Maria-Navarrese_Sardinien_Italien-1200x700_vtrkri.jpg;https://maps.app.goo.gl/d636QqQoSoi6yXMY9;1300;Spiaggia Centrale (Santa Maria Navarrese);0;0;Nuoro;0
11;True;Orosei;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10499.087513520792!2d9.772864869063925!3d40.45218221938324!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12dee51da288367b%3A0x1ae014c044c6cf4f!2sSpiaggia%202%20-%20Oasi%20Biderosa!5e0!3m2!1sit!2sit!4v1722418861576!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052389/Bidderosa-Giusto-1024x669_jbyu2u.png;https://maps.app.goo.gl/mDEu1Tg2Kc1PwRMCA;230;Oasi di Bidderosa;1;12;Nuoro;0
12;True;Stintino;True;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6025.690081531245!2d8.201994847299149!3d40.962973387147734!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12dc9e7186be51dd%3A0xff1db3e8eed05b65!2sSpiaggia%20La%20Pelosa!5e0!3m2!1sit!2sit!4v1722418916344!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052411/stintino_mb5afw.jpg;https://maps.app.goo.gl/GJNXtqc3wPYE4ec98;1500;Spiaggia la Pelosa;3;0;Sassari;0
13;True;Santa Teresa Gallura;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d749.9835848524169!2d9.188272769659063!3d41.24498815658078!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12dbdff7e9437e8b%3A0xc2418387787c03f9!2sSpiaggia%20Rena%20Bianca!5e0!3m2!1sit!2sit!4v1722418966642!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052442/w_1200_h_1200_fit_fill_f_faces___www.costasmeralda.it_wp-content_uploads_2019_07_RenaBiancaLOW_10_ooq2rn.jpg;https://maps.app.goo.gl/ZjKgUaVJxEpbL3167;1015;Rena Bianca;3;0;Sassari;0
14;True;La Maddalena;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d21191.31564826759!2d9.462514159483534!3d41.22366880634766!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12d96a71f2fd6637%3A0x2bafc95dcaeea02!2sSpiaggia%20di%20Cala%20Coticcio!5e0!3m2!1sit!2sit!4v1722419011716!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052473/cala-coticcio-alto-hd_cc6bco.jpg;https://maps.app.goo.gl/71hWqd5FtNfc7XU59;60;Cala Coticcio;3;0;Sassari;0
15;True;La Maddalena;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3105.8362385925625!2d8.654729426420957!3d38.88198839761249!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12e6fb2c57ab664d%3A0x6cdf08855b20e728!2sCala%20Brigantina!5e0!3m2!1sit!2sit!4v1722419596144!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052518/cala_brigantina_caprera_iqnvas.jpg;https://maps.app.goo.gl/SewYkd72rQsuBnsY7;60;Cala Brigantina;3;0;Sassari;0
16;True;San Teodoro;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3018.7010267511237!2d9.68461772649257!3d40.8345301801047!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12decd07051e8ef1%3A0x73b6bb73a87af5f2!2sCala%20Brandinchi!5e0!3m2!1sit!2sit!4v1722419637063!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052552/Cala-Brandinchi-2-1024x576_wetksf.jpg;https://maps.app.goo.gl/me5usQ2MPbyJekVH8;1447;Cala Brandinchi;2;0;Sassari;0
17;True;San Teodoro;False;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6038.2493819622805!2d9.677442297278427!3d40.82522475411382!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x12decdad00c58695%3A0x56eadc59dbf1a466!2sSpiaggia%20di%20Lu%20Impostu!5e0!3m2!1sit!2sit!4v1722419696312!5m2!1sit!2sit;https://res.cloudinary.com/djp7dsnvt/image/upload/v1721052581/Spiaggia-di-Lu-Impostu_fglbdk.jpg;https://maps.app.goo.gl/2WPJcU5p3LTtXBgj7;3352;Spiaggia Lu Impostu;2;0;Sassari;0